,Year,Hospital,Rank,Position.Title,Salary,Fringe.Benefits,Total
262,2009,THE HOSPITAL OF CENTRAL CONNECTICUT,10,Medical Director BMH ED,"$330,771","$34,018","$364,789"
263,2009,WATERBURY HOSPITAL,1,President,"$515,274","$41,903","$557,177"
264,2009,WATERBURY HOSPITAL,2,"Physician, Director of ED","$397,411","$36,813","$434,224"
265,2009,WATERBURY HOSPITAL,3,Medical Director Internal Medecine,"$362,718","$44,163","$406,881"
266,2009,WATERBURY HOSPITAL,4,Medical Director ICU,"$368,009","$33,205","$401,214"
267,2009,WATERBURY HOSPITAL,5,VP Medical Affairs,"$353,934","$45,067","$399,001"
268,2009,WATERBURY HOSPITAL,6,ED Physician,"$354,735","$20,960","$375,695"
269,2009,WATERBURY HOSPITAL,7,Attending Faculty Surgeon,"$315,919","$35,633","$351,552"
270,2009,WATERBURY HOSPITAL,8,COO,"$310,538","$36,395","$346,933"
271,2009,WATERBURY HOSPITAL,9,CFO,"$296,621","$43,701","$340,322"
272,2009,WATERBURY HOSPITAL,10,ED Physician,"$293,053","$34,351","$327,404"
273,2009,WILLIAM W. BACKUS HOSPITAL,1,Former President & CEO,"$580,280","$345,223","$925,503"
274,2009,WILLIAM W. BACKUS HOSPITAL,2,Sr. Vice President & CFO,"$330,308","$164,376","$494,684"
275,2009,WILLIAM W. BACKUS HOSPITAL,3,E.R. Physician,"$391,388","$45,707","$437,095"
276,2009,WILLIAM W. BACKUS HOSPITAL,4,President & CEO,"$308,922","$101,750","$410,672"
277,2009,WILLIAM W. BACKUS HOSPITAL,5,Medical Director,"$340,769","$66,750","$407,519"
278,2009,WILLIAM W. BACKUS HOSPITAL,6,E.R. Physician,"$358,023","$46,339","$404,362"
279,2009,WILLIAM W. BACKUS HOSPITAL,7,Vice President & COO,"$305,192","$86,750","$391,942"
280,2009,WILLIAM W. BACKUS HOSPITAL,8,E.R. Physician,"$324,163","$44,952","$369,115"
281,2009,WILLIAM W. BACKUS HOSPITAL,9,E.R. Physician,"$316,424","$46,292","$362,716"
282,2009,WILLIAM W. BACKUS HOSPITAL,10,E.R. Physician,"$315,106","$43,488","$358,594"
283,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,1,Cheif Executive Officer,"$388,803","$132,117","$520,920"
284,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,2,Cheif Financial Officer/VP Finance,"$237,814","$80,810","$318,624"
285,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,3,VIce-President Patient Care,"$218,446","$74,229","$292,675"
286,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,4,Registered Nurse,"$144,750","$49,187","$193,937"
287,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,5,Vice-President Human Resources,"$137,228","$46,631","$183,859"
288,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,6,Registered Nurse,"$123,851","$42,085","$165,936"
289,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,7,Director Inpatient Nursing,"$121,566","$41,309","$162,875"
290,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,8,Registered Nurse,"$119,987","$40,772","$160,759"
291,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,9,Registered Nurse,"$119,812","$40,712","$160,524"
292,2009,WINDHAM COMMUNITY MEMORIAL HOSPITAL,10,Registered Nurse,"$118,162","$40,152","$158,314"
293,2009,YALE-NEW HAVEN HOSPITAL,1,President & CEO(repr YNHH & YNHHS),"$1,869,103","$743,792","$2,612,895"
294,2009,YALE-NEW HAVEN HOSPITAL,2,"Exec VP, COO(repr YNHH & YNHHS)","$1,273,080","$352,573","$1,625,653"
295,2009,YALE-NEW HAVEN HOSPITAL,3,"SR VP, Chief of Staff(repr YNHH & YNHHS)","$1,034,605","$304,997","$1,339,602"
296,2009,YALE-NEW HAVEN HOSPITAL,4,"SR VP Finance, CFO(repr YNHH & YNHHS)","$903,884","$356,772","$1,260,656"
297,2009,YALE-NEW HAVEN HOSPITAL,5,"Senior VP, CIO(repr YNHH & YNHHS)","$716,028","$269,580","$985,608"
298,2009,YALE-NEW HAVEN HOSPITAL,6,Senior VP HR(repr YNHH & YNHHS),"$682,412","$293,681","$976,093"
299,2009,YALE-NEW HAVEN HOSPITAL,7,Senior VP Administration,"$622,452","$248,459","$870,911"
300,2009,YALE-NEW HAVEN HOSPITAL,8,VP & Exec Dir of Childrens Hospital,"$517,480","$221,633","$739,113"
301,2009,YALE-NEW HAVEN HOSPITAL,9,Senior VP Patient Services,"$620,160","$108,931","$729,091"
302,2009,YALE-NEW HAVEN HOSPITAL,10,VP Finance,"$487,132","$231,455","$718,587"
303,2010,BRIDGEPORT HOSPITAL,1,President & CEO,"$1,188,602","$163,907","$1,352,509"
304,2010,BRIDGEPORT HOSPITAL,2,Senior VP of Finance & CFO,"$480,322","$207,663","$687,985"
305,2010,BRIDGEPORT HOSPITAL,3,Medical Director,"$522,301","$49,050","$571,351"
306,2010,BRIDGEPORT HOSPITAL,4,Senior VP & COO,"$431,990","$97,625","$529,615"
307,2010,BRIDGEPORT HOSPITAL,5,Senior VP of Human Resources,"$367,412","$126,782","$494,194"
308,2010,BRIDGEPORT HOSPITAL,6,"SR. V.P., Planning & Marketing","$330,788","$134,720","$465,508"
309,2010,BRIDGEPORT HOSPITAL,7,ER Physician,"$343,672","$65,669","$409,341"
310,2010,BRIDGEPORT HOSPITAL,8,ER Physician,"$340,428","$64,275","$404,703"
311,2010,BRIDGEPORT HOSPITAL,9,Sr. VP of Quality Control & Risk Management,"$358,712","$37,828","$396,540"
312,2010,BRIDGEPORT HOSPITAL,10,ER Physician,"$329,996","$36,598","$366,594"
313,2010,BRISTOL HOSPITAL,1,President & CEO,"$407,899","$33,922","$441,821"
314,2010,BRISTOL HOSPITAL,2,"Sr. Vice President, Chief Medical Officer","$322,518","$30,669","$353,187"
315,2010,BRISTOL HOSPITAL,3,Sr. Vice President/ CFO,"$303,081","$28,775","$331,856"
316,2010,BRISTOL HOSPITAL,4,Vice President of Operations,"$205,215","$21,961","$227,176"
317,2010,BRISTOL HOSPITAL,5,Staff Psychiatrist,"$183,500","$23,227","$206,727"
318,2010,BRISTOL HOSPITAL,6,"Assistant VIce President, Information Services","$152,705","$28,075","$180,780"
319,2010,BRISTOL HOSPITAL,7,"Assistant Vice President, Chief Development Office","$132,176","$16,938","$149,114"
320,2010,BRISTOL HOSPITAL,8,"Assistant Vice President, Human Resources","$134,658","$11,364","$146,022"
321,2010,BRISTOL HOSPITAL,9,Manager of Applications & Programming,"$118,932","$26,843","$145,775"
322,2010,BRISTOL HOSPITAL,10,Clinical Staff Pharmacist,"$121,435","$21,987","$143,422"
323,2010,CHARLOTTE HUNGERFORD HOSPITAL,1,CEO PRESIDENT,"$408,871","$131,572","$540,443"
324,2010,CHARLOTTE HUNGERFORD HOSPITAL,2,PATHOLOGIST MED DIRECTOR,"$405,540","$130,500","$536,040"
325,2010,CHARLOTTE HUNGERFORD HOSPITAL,3,VP MEDICAL AFFAIRS,"$323,397","$104,067","$427,464"
326,2010,CHARLOTTE HUNGERFORD HOSPITAL,4,PHYSICIAN SURGEON,"$286,554","$92,211","$378,765"
327,2010,CHARLOTTE HUNGERFORD HOSPITAL,5,PSYCHIATRIST MED DIRECTOR,"$281,881","$90,708","$372,589"
328,2010,CHARLOTTE HUNGERFORD HOSPITAL,6,CFO,"$250,263","$80,533","$330,796"
329,2010,CHARLOTTE HUNGERFORD HOSPITAL,7,PHYSICIAN HOSPITALIST,"$236,679","$76,162","$312,841"
330,2010,CHARLOTTE HUNGERFORD HOSPITAL,8,PHYSICIAN SURGEON,"$233,447","$75,122","$308,569"
331,2010,CHARLOTTE HUNGERFORD HOSPITAL,9,HOSPITALIST MED DIRECTOR,"$218,589","$70,341","$288,930"
332,2010,CHARLOTTE HUNGERFORD HOSPITAL,10,ORTHOPEDIC SURGEON,"$215,785","$69,438","$285,223"
333,2010,CT CHILDREN`S MEDICAL CENTER,1,President & CEO,"$468,749","$12,121","$480,870"
334,2010,CT CHILDREN`S MEDICAL CENTER,2,Physician In Chief,"$449,323","$19,676","$468,999"
335,2010,CT CHILDREN`S MEDICAL CENTER,3,Senior VP & CFO,"$411,532","$31,752","$443,284"
336,2010,CT CHILDREN`S MEDICAL CENTER,4,VP Quality Improvement & Patient Safety,"$368,121","$23,043","$391,164"
337,2010,CT CHILDREN`S MEDICAL CENTER,5,Chief Operating Officer,"$343,859","$31,320","$375,179"
338,2010,CT CHILDREN`S MEDICAL CENTER,6,General Council,"$308,744","$29,494","$338,238"
339,2010,CT CHILDREN`S MEDICAL CENTER,7,VP Clinical Svcs & Chief RN Officer,"$256,968","$29,013","$285,981"
340,2010,CT CHILDREN`S MEDICAL CENTER,8,VP Human Resources,"$242,233","$20,302","$262,535"
341,2010,CT CHILDREN`S MEDICAL CENTER,9,Director of IT,"$201,058","$9,363","$210,421"
342,2010,CT CHILDREN`S MEDICAL CENTER,10,VP Strategy & Regional Development,"$165,681","$25,346","$191,027"
343,2010,DANBURY HOSPITAL,1,CEO CHIEF EXECUTIVE OFFICER,"$873,445","$994,165","$1,867,610"
344,2010,DANBURY HOSPITAL,2,EXECUTIVE VP/CEO,"$790,285","$71,852","$862,137"
345,2010,DANBURY HOSPITAL,3,VP HUMAN RESOURCES,"$429,888","$408,647","$838,535"
346,2010,DANBURY HOSPITAL,4,CFO CHIEF FINANCIAL OFFICER,"$503,752","$52,142","$555,894"
347,2010,DANBURY HOSPITAL,5,CHIEF NURSING OFFICER,"$373,927","$65,564","$439,491"
348,2010,DANBURY HOSPITAL,6,VP MARKETING,"$325,850","$59,064","$384,914"
349,2010,DANBURY HOSPITAL,7,MEDICAL DIRECTOR COMMUNITY HEALTH CENER,"$318,476","$44,460","$362,936"
350,2010,DANBURY HOSPITAL,8,CHIEF INFORMATION OFFICER,"$315,850","$46,561","$362,411"
351,2010,DANBURY HOSPITAL,9,SENIOR VP OPERATIONS,"$290,465","$58,933","$349,398"
352,2010,DANBURY HOSPITAL,10,VP FACILITIES,"$270,850","$55,398","$326,248"
353,2010,DAY KIMBALL HOSPITAL,1,President & CEO,"$386,715","$174,121","$560,836"
354,2010,DAY KIMBALL HOSPITAL,2,OB/GYN Physician,"$305,676","$30,953","$336,629"
355,2010,DAY KIMBALL HOSPITAL,3,Psychiatric Physician,"$285,352","$30,114","$315,466"
356,2010,DAY KIMBALL HOSPITAL,4,VP Medical Affairs,"$276,306","$29,741","$306,047"
357,2010,DAY KIMBALL HOSPITAL,5,OB/GYN Physician,"$271,298","$29,534","$300,832"
358,2010,DAY KIMBALL HOSPITAL,6,Pulmonary Physician,"$267,208","$29,365","$296,573"
359,2010,DAY KIMBALL HOSPITAL,7,Cardiologist,"$238,307","$28,173","$266,480"
360,2010,DAY KIMBALL HOSPITAL,8,OB/GYN Physician,"$203,878","$26,752","$230,630"
361,2010,DAY KIMBALL HOSPITAL,9,Pediatrician,"$203,340","$26,730","$230,070"
362,2010,DAY KIMBALL HOSPITAL,10,Pediatrician,"$200,181","$26,599","$226,780"
363,2010,ESSENT-SHARON HOSPITAL,1,Chief Executive Officer,"$217,500","$52,570","$270,070"
364,2010,ESSENT-SHARON HOSPITAL,2,Chief Financial Officer,"$180,000","$43,506","$223,506"
365,2010,ESSENT-SHARON HOSPITAL,3,Chief Nursing Officer,"$140,000","$33,838","$173,838"
366,2010,ESSENT-SHARON HOSPITAL,4,Registered Nurse -,"$132,147","$31,940","$164,087"
367,2010,ESSENT-SHARON HOSPITAL,5,Associate Administrator/Director HR,"$126,380","$30,546","$156,926"
368,2010,ESSENT-SHARON HOSPITAL,6,Chief Quality Officer,"$120,066","$29,020","$149,086"
369,2010,ESSENT-SHARON HOSPITAL,7,Assistant Chief Financial Officer,"$114,292","$27,624","$141,916"
370,2010,ESSENT-SHARON HOSPITAL,8,Director,"$113,978","$27,548","$141,526"
371,2010,ESSENT-SHARON HOSPITAL,9,Director,"$110,131","$26,619","$136,750"
372,2010,ESSENT-SHARON HOSPITAL,10,Ultrasound Technician,"$106,247","$25,680","$131,927"
373,2010,GREENWICH HOSPITAL,1,President & CEO,"$5,020,615","$199,512","$5,220,127"
374,2010,GREENWICH HOSPITAL,2,Executive VP & COO,"$2,148,992","$100,831","$2,249,823"
375,2010,GREENWICH HOSPITAL,3,Senior VP & CFO,"$515,029","$234,609","$749,638"
376,2010,GREENWICH HOSPITAL,4,"Director, Pathology","$593,069","$44,902","$637,971"
377,2010,GREENWICH HOSPITAL,5,Pathologist,"$545,550","$45,548","$591,098"
378,2010,GREENWICH HOSPITAL,6,Pathologist,"$536,298","$32,274","$568,572"
379,2010,GREENWICH HOSPITAL,7,Pathologist,"$497,797","$52,950","$550,747"
380,2010,GREENWICH HOSPITAL,8,SVP- Health System Development,"$373,681","$146,553","$520,234"
381,2010,GREENWICH HOSPITAL,9,Pathologist,"$437,434","$64,426","$501,860"
382,2010,GREENWICH HOSPITAL,10,Chief Quality Officer,"$468,489","$31,717","$500,206"
383,2010,GRIFFIN HOSPITAL,1,CHIEF EXECUTIVE OFFICER,"$430,366","$117,612","$547,978"
384,2010,GRIFFIN HOSPITAL,2,CHIEF FINANCIAL OFFICER,"$270,978","$75,324","$346,302"
385,2010,GRIFFIN HOSPITAL,3,CHIEF MEDICAL DIRECTOR,"$209,212","$135,340","$344,552"
386,2010,GRIFFIN HOSPITAL,4,"DIRECTOR, PREVENTATIVE MEDICINE","$245,273","$56,230","$301,503"
387,2010,GRIFFIN HOSPITAL,5,PSYCHIATRIC PHYSICIAN,"$195,472","$137,394","$332,866"
388,2010,GRIFFIN HOSPITAL,6,"CHIEF, PULMONARY PHYSICIAN","$213,674","$94,304","$307,978"
389,2010,GRIFFIN HOSPITAL,7,VICE PRESIDENT COMMUNICATION,"$204,489","$96,974","$301,463"
390,2010,GRIFFIN HOSPITAL,8,EMERGENCY ROOM PHYSICIAN,"$232,125","$29,758","$261,883"
391,2010,GRIFFIN HOSPITAL,9,"CHIEF, PSYCHIATRIC PHYSICIAN","$187,571","$108,770","$296,341"
392,2010,GRIFFIN HOSPITAL,10,"CHIEF, EMERGENCY ROOM PHYSICIAN","$213,820","$51,302","$265,122"
393,2010,HARTFORD HOSPITAL,1,Director of Arrythmia Center,"$377,946","$1,522,313","$1,900,259"
394,2010,HARTFORD HOSPITAL,2,President and CEO,"$1,491,876","$238,833","$1,730,709"
395,2010,HARTFORD HOSPITAL,3,President and CEO (former),"$1,127,961","$48,505","$1,176,466"
396,2010,HARTFORD HOSPITAL,4,"VP, Academic Affairs","$598,275","$241,729","$840,004"
397,2010,HARTFORD HOSPITAL,5,"VP, Psychiatry","$540,863","$185,628","$726,491"
398,2010,HARTFORD HOSPITAL,6,Executive VP and COO,"$650,417","$68,227","$718,644"
399,2010,HARTFORD HOSPITAL,7,Director of Cardiology,"$499,580","$171,564","$671,144"
400,2010,HARTFORD HOSPITAL,8,Executive VP and CFO,"$598,498","$44,120","$642,618"
401,2010,HARTFORD HOSPITAL,9,Director of Surgery,"$549,243","$88,384","$637,627"
402,2010,HARTFORD HOSPITAL,10,Director of Emergency Medicine & Trauma Service,"$558,173","$43,702","$601,875"
403,2010,HOSPITAL OF SAINT RAPHAEL,1,Former President,"$609,799","$1,558,275","$2,168,074"
404,2010,HOSPITAL OF SAINT RAPHAEL,2,Senior Vice President-COO & CFO,"$429,516","$557,797","$987,313"
405,2010,HOSPITAL OF SAINT RAPHAEL,3,President,"$601,318","$310,015","$911,333"
406,2010,HOSPITAL OF SAINT RAPHAEL,4,Senior Vice President-CMO (MD),"$443,480","$329,524","$773,004"
407,2010,HOSPITAL OF SAINT RAPHAEL,5,Clinical Chair - Surgery (MD),"$489,789","$190,947","$680,736"
408,2010,HOSPITAL OF SAINT RAPHAEL,6,Former Sr. Vice President-CMO (MD),"$398,086","$237,252","$635,338"
409,2010,HOSPITAL OF SAINT RAPHAEL,7,DIrector- Cardiology (MD),"$418,764","$97,020","$515,784"
410,2010,HOSPITAL OF SAINT RAPHAEL,8,Section Chief-Thoracic Surgery (MD),"$401,129","$85,681","$486,810"
411,2010,HOSPITAL OF SAINT RAPHAEL,9,Section Chief - Cardiology (MD),"$438,064","$9,768","$447,832"
412,2010,HOSPITAL OF SAINT RAPHAEL,10,Associate Clinical Chair - Medicine (MD),"$364,508","$12,713","$377,221"
413,2010,JOHN DEMPSEY HOSPITAL,1,CFO,"$305,406","$118,506","$423,912"
414,2010,JOHN DEMPSEY HOSPITAL,2,ASSISTANT PROFESSOR / CLINICAL / ER,"$215,022","$83,149","$298,171"
415,2010,JOHN DEMPSEY HOSPITAL,3,ASSISTANT PROFESSOR / CLINICAL / ER,"$201,963","$78,099","$280,062"
416,2010,JOHN DEMPSEY HOSPITAL,4,ASSISTANT PROFESSOR / CLINICAL / ER,"$201,482","$77,913","$279,395"
417,2010,JOHN DEMPSEY HOSPITAL,5,ASSISTANT PROFESSOR / CLINICAL / ER,"$200,995","$77,724","$278,719"
418,2010,JOHN DEMPSEY HOSPITAL,6,ASSISTANT PROFESSOR / CLINICAL / ER,"$197,232","$76,270","$273,502"
419,2010,JOHN DEMPSEY HOSPITAL,7,ASSOCIATE VP / CLINICAL OPERATION,"$172,362","$66,652","$239,014"
420,2010,JOHN DEMPSEY HOSPITAL,8,INSTRUCTOR / CLINICAL,"$169,873","$65,690","$235,563"
421,2010,JOHN DEMPSEY HOSPITAL,9,CEO,"$164,681","$63,682","$228,363"
422,2010,JOHN DEMPSEY HOSPITAL,10,COO,"$103,580","$40,054","$143,634"
423,2010,JOHNSON MEMORIAL HOSPITAL,1,Vice President Medical Affairs,"$319,534","$89,470","$409,004"
424,2010,JOHNSON MEMORIAL HOSPITAL,2,VP Human Resources,"$124,314","$34,808","$159,122"
425,2010,JOHNSON MEMORIAL HOSPITAL,3,Med Director of Emergency Medicine,"$111,553","$31,235","$142,788"
426,2010,JOHNSON MEMORIAL HOSPITAL,4,Emergency Room Physician,"$103,496","$28,979","$132,475"
427,2010,JOHNSON MEMORIAL HOSPITAL,5,Chief of Pathology,"$95,015","$26,604","$121,619"
428,2010,JOHNSON MEMORIAL HOSPITAL,6,Emergency Room Physician,"$93,600","$26,208","$119,808"
429,2010,JOHNSON MEMORIAL HOSPITAL,7,Emergency Room Physician,"$93,431","$26,161","$119,592"
430,2010,JOHNSON MEMORIAL HOSPITAL,8,Emergency Room Physician,"$92,834","$25,994","$118,828"
431,2010,JOHNSON MEMORIAL HOSPITAL,9,Emergency Room Physician,"$71,625","$20,055","$91,680"
432,2010,JOHNSON MEMORIAL HOSPITAL,10,Pathologist,"$15,488","$4,337","$19,825"
433,2010,LAWRENCE AND MEMORIAL HOSPITAL,1,"President, CEO","$677,443","$46,402","$723,845"
434,2010,LAWRENCE AND MEMORIAL HOSPITAL,2,VP. COO,"$398,441","$36,535","$434,976"
435,2010,LAWRENCE AND MEMORIAL HOSPITAL,3,"Vice President, CFO","$351,853","$39,130","$390,983"
436,2010,LAWRENCE AND MEMORIAL HOSPITAL,4,"Chair, Department of Surgery","$305,588","$23,920","$329,508"
437,2010,LAWRENCE AND MEMORIAL HOSPITAL,5,VP of Strategic Planning,"$282,322","$35,105","$317,427"
438,2010,LAWRENCE AND MEMORIAL HOSPITAL,6,Medical Director Physician,"$273,783","$31,356","$305,139"
439,2010,LAWRENCE AND MEMORIAL HOSPITAL,7,Chief Legal Officer,"$264,005","$34,783","$298,788"
440,2010,LAWRENCE AND MEMORIAL HOSPITAL,8,ER Physician,"$259,517","$33,831","$293,348"
441,2010,LAWRENCE AND MEMORIAL HOSPITAL,9,ER Physician,"$272,968","$19,442","$292,410"
442,2010,LAWRENCE AND MEMORIAL HOSPITAL,10,ER Physician,"$246,625","$34,734","$281,359"
443,2010,MANCHESTER MEMORIAL HOSPITAL,1,CEO,"$459,288","$16,590","$475,878"
444,2010,MANCHESTER MEMORIAL HOSPITAL,2,CFO,"$293,397","$13,085","$306,482"
445,2010,MANCHESTER MEMORIAL HOSPITAL,3,Senior VP of Medical Affairs,"$277,920","$26,498","$304,418"
446,2010,MANCHESTER MEMORIAL HOSPITAL,4,Medical Director ED,"$268,585","$17,420","$286,005"
447,2010,MANCHESTER MEMORIAL HOSPITAL,5,Emergency Room MD,"$256,158","$6,025","$262,183"
448,2010,MANCHESTER MEMORIAL HOSPITAL,6,Emergency Room MD,"$245,122","$15,344","$260,466"
449,2010,MANCHESTER MEMORIAL HOSPITAL,7,Emergency Room MD,"$238,180","$17,180","$255,360"
450,2010,MANCHESTER MEMORIAL HOSPITAL,8,Emergency Room MD,"$234,765","$24,805","$259,570"
451,2010,MANCHESTER MEMORIAL HOSPITAL,9,Emergency Room MD,"$230,944","$16,064","$247,008"
452,2010,MANCHESTER MEMORIAL HOSPITAL,10,Emergency Room MD,"$222,982","$12,282","$235,264"
453,2010,MIDDLESEX HOSPITAL,1,President/CEO (11mos) Retired 8/31/10,"$553,048","$1,145,843","$1,698,891"
454,2010,MIDDLESEX HOSPITAL,2,"Sr. VP, Finance & Operations (11mos)/Pres/CEO(1mo)","$366,124","$347,044","$713,168"
455,2010,MIDDLESEX HOSPITAL,3,"Vp, Clinical Affairs","$355,124","$167,045","$522,169"
456,2010,MIDDLESEX HOSPITAL,4,"VP, Nursing","$233,670","$281,855","$515,525"
457,2010,MIDDLESEX HOSPITAL,5,"Chairman, Emergency Medicine","$359,247","$78,538","$437,785"
458,2010,MIDDLESEX HOSPITAL,6,"VP, Finance/CFO/Treasurer","$296,936","$123,177","$420,113"
459,2010,MIDDLESEX HOSPITAL,7,"Chairman, Dept of Medicine","$338,538","$63,855","$402,393"
460,2010,MIDDLESEX HOSPITAL,8,Clinical Director of Infectious Disease,"$338,856","$60,166","$399,022"
461,2010,MIDDLESEX HOSPITAL,9,"Chief, Dept of Medicine & Secretary","$342,933","$55,864","$398,797"
462,2010,MIDDLESEX HOSPITAL,10,"Physician, Emergency Dept","$329,619","$53,738","$383,357"
463,2010,MIDSTATE MEDICAL CENTER,1,Pres / CEO,"$618,099","$234,752","$852,851"
464,2010,MIDSTATE MEDICAL CENTER,2,ED Physician,"$399,567","$123,466","$523,033"
465,2010,MIDSTATE MEDICAL CENTER,3,CFO,"$352,838","$119,676","$472,514"
466,2010,MIDSTATE MEDICAL CENTER,4,ED Physician,"$300,080","$92,725","$392,805"
467,2010,MIDSTATE MEDICAL CENTER,5,Hospitalist Physician Director,"$293,708","$90,759","$384,467"
468,2010,MIDSTATE MEDICAL CENTER,6,ED Physician,"$285,350","$88,173","$373,523"
469,2010,MIDSTATE MEDICAL CENTER,7,ED Physician,"$274,324","$84,766","$359,090"
470,2010,MIDSTATE MEDICAL CENTER,8,ED Physician,"$269,651","$83,322","$352,973"
471,2010,MIDSTATE MEDICAL CENTER,9,ED Physician,"$264,285","$81,664","$345,949"
472,2010,MIDSTATE MEDICAL CENTER,10,ED Physician,"$262,283","$81,045","$343,328"
473,2010,MILFORD HOSPITAL,1,PHYSICIAN CHIEF OPERATING OFFICER,"$384,989","$66,024","$451,013"
474,2010,MILFORD HOSPITAL,2,Hospitalist,"$307,512","$63,295","$370,807"
475,2010,MILFORD HOSPITAL,3,President,"$326,453","$43,339","$369,792"
476,2010,MILFORD HOSPITAL,4,E.R. Physician,"$275,449","$62,161","$337,610"
477,2010,MILFORD HOSPITAL,5,E.R. Physician,"$275,449","$62,161","$337,610"
478,2010,MILFORD HOSPITAL,6,Physician--Dir.E.R.,"$275,699","$58,678","$334,377"
479,2010,MILFORD HOSPITAL,7,E.R. Physician,"$265,971","$61,825","$327,796"
480,2010,MILFORD HOSPITAL,8,E.R. Physician,"$265,958","$61,825","$327,783"
481,2010,MILFORD HOSPITAL,9,E.R. Physician,"$278,889","$44,910","$323,799"
482,2010,MILFORD HOSPITAL,10,Hospitalist,"$267,521","$51,454","$318,975"
483,2010,NEW MILFORD HOSPITAL,1,RAD-PHYSICIAN,"$419,557","$44,252","$463,809"
484,2010,NEW MILFORD HOSPITAL,2,LAB-PHYSICIAN,"$414,274","$43,855","$458,129"
485,2010,NEW MILFORD HOSPITAL,3,DIR-EMER SVCS,"$410,113","$45,647","$455,760"
486,2010,NEW MILFORD HOSPITAL,4,PVT-PHYSICIAN,"$372,525","$42,838","$415,363"
487,2010,NEW MILFORD HOSPITAL,5,PVT-PHYSICIAN,"$360,006","$42,653","$402,659"
488,2010,NEW MILFORD HOSPITAL,6,PVT-PHYSICIAN,"$337,028","$35,574","$372,602"
489,2010,NEW MILFORD HOSPITAL,7,ER-PHYSICIAN,"$313,620","$42,900","$356,520"
490,2010,NEW MILFORD HOSPITAL,8,"VP-NURSING, COO","$288,912","$46,984","$335,896"
491,2010,NEW MILFORD HOSPITAL,9,ER-PHYSICIAN,"$281,555","$44,172","$325,727"
492,2010,NEW MILFORD HOSPITAL,10,V.P. FINANCE,"$307,438","$13,144","$320,582"
493,2010,NORWALK HOSPITAL,1,President & CEO (through April 2010),"$2,373,255","$396,487","$2,769,742"
494,2010,NORWALK HOSPITAL,2,VP & Chief Medical Officer,"$709,443","$202,077","$911,520"
495,2010,NORWALK HOSPITAL,3,VP & Chief Operating Officer/ President & CEO,"$583,054","$48,168","$631,222"
496,2010,NORWALK HOSPITAL,4,"Physician, Emergency Department","$490,964","$107,797","$598,761"
497,2010,NORWALK HOSPITAL,5,VP Planning/ VP and Chief Operating Officer,"$448,617","$47,247","$495,864"
498,2010,NORWALK HOSPITAL,6,"Physician, Emergency Department","$430,429","$185,779","$616,208"
499,2010,NORWALK HOSPITAL,7,"Chairman, Dept. of Emergency Medicine","$422,527","$122,709","$545,236"
500,2010,NORWALK HOSPITAL,8,"Chairman, Dept. of Surgery","$366,623","$70,683","$437,306"
501,2010,NORWALK HOSPITAL,9,Chief Pulmonary/Critical Care,"$345,660","$149,455","$495,115"
502,2010,NORWALK HOSPITAL,10,"Physician, Emergency Department","$342,717","$50,039","$392,756"
503,2010,ROCKVILLE GENERAL HOSPITAL,1,OB/GYN,"$287,075",$0,"$287,075"
504,2010,ROCKVILLE GENERAL HOSPITAL,2,Infection Control Director MD,"$208,867","$4,196","$213,063"
505,2010,ROCKVILLE GENERAL HOSPITAL,3,CEO,"$196,837","$7,110","$203,947"
506,2010,ROCKVILLE GENERAL HOSPITAL,4,Admin Director,"$126,892","$13,134","$140,026"
507,2010,ROCKVILLE GENERAL HOSPITAL,5,RN - ICU,"$126,487","$8,713","$135,200"
508,2010,ROCKVILLE GENERAL HOSPITAL,6,CFO,"$125,742","$5,608","$131,350"
509,2010,ROCKVILLE GENERAL HOSPITAL,7,RN - Amb Surg,"$122,383","$22,198","$144,581"
510,2010,ROCKVILLE GENERAL HOSPITAL,8,Senior VP of Medical Affairs,"$119,109","$12,014","$131,123"
511,2010,ROCKVILLE GENERAL HOSPITAL,9,RN - ICU,"$116,302","$12,524","$128,826"
512,2010,ROCKVILLE GENERAL HOSPITAL,10,RN Supervisor,"$116,204","$10,551","$126,755"
513,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,1,President,"$1,421,505","$113,135","$1,534,640"
514,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,2,Senior Vice President and CFO,"$700,703","$119,348","$820,051"
515,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,3,Executive Vice President and COO,"$574,800","$55,160","$629,960"
516,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,4,"Senior Vice President, Chief Academic Officer","$452,250","$46,601","$498,851"
517,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,5,Section Chief - Pathology,"$443,905","$45,261","$489,166"
518,2010,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,6,Department Chairman - Pathology,"$423,558","$44,246","$467,804"
