Hospital,Type,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2014
MANCHESTER MEMORIAL HOSPITAL,Uncompensated Care Cost,"$3,116,397","$3,303,619","$3,153,040","$3,767,739","$3,545,885","$4,389,440","$4,085,613","$3,049,042"
MIDDLESEX HOSPITAL,ALOS,4.3,4.1,4.2,4.1,4.2,4.3,4.2,4.1
MIDDLESEX HOSPITAL,Champus / TRICARE,23,29,36,36,43,48,62,44
MIDDLESEX HOSPITAL,Discharges,13100,13795,14201,13964,13918,13855,14158,15162
MIDDLESEX HOSPITAL,Emergency Room - Treated and Admitted,8516,6815,9956,8816,8487,8487,8809,9971
MIDDLESEX HOSPITAL,Emergency Room - Treated and Discharged,76420,80354,84743,83476,85981,86806,85082,81193
MIDDLESEX HOSPITAL,Full Time Equivalent Employees,1823,1872.8,1911,1977,2021,2056.6,2080,2119
MIDDLESEX HOSPITAL,Hospital Total Margins,5.01%,4.63%,3.54%,5.79%,7.39%,6.15%,8.00%,6.59%
MIDDLESEX HOSPITAL,Medicaid,1211,1199,1249,1313,1665,2028,2138,2323
MIDDLESEX HOSPITAL,Medicaid Payment to Cost Ratio,0.71,0.72,0.74,0.67,0.84,0.75,0.66,0.61
MIDDLESEX HOSPITAL,Medicare,6317,7051,7515,7401,7204,7373,7537,8270
MIDDLESEX HOSPITAL,Medicare Payment to Cost Ratio,0.93,0.87,0.82,0.86,0.82,0.76,0.77,0.78
MIDDLESEX HOSPITAL,Occupancy of staffed beds,87%,95%,92%,90%,89%,90%,89%,91%
MIDDLESEX HOSPITAL,Private Payment to Cost Ratio,1.27,1.17,1.2,1.31,1.39,1.4,1.47,1.55
MIDDLESEX HOSPITAL,Staffed Beds,177,163,176,176,178,183,183,189
MIDDLESEX HOSPITAL,Total Case Mix Index,1.092,1.1011,1.1491,1.1791,1.1839,1.2135,1.2326,1.2225
MIDDLESEX HOSPITAL,Total Emergency Room Visits,84936,87169,94699,92292,94468,95293,93891,91164
MIDDLESEX HOSPITAL,Uncompensated Care Cost,"$6,692,149","$8,364,034","$9,432,675","$8,817,506","$7,061,633","$6,432,546","$5,829,532","$5,466,908"
MIDSTATE MEDICAL CENTER,ALOS,4.5,4.6,4.7,4.3,4.3,4.4,4.1,4.3
MIDSTATE MEDICAL CENTER,Champus / TRICARE,14,12,5,10,20,19,27,24
MIDSTATE MEDICAL CENTER,Discharges,9809,9664,9722,9955,9818,10235,10330,9847
MIDSTATE MEDICAL CENTER,Emergency Room - Treated and Admitted,6018,6022,6098,6415,6380,6629,7232,6894
MIDSTATE MEDICAL CENTER,Emergency Room - Treated and Discharged,61238,63826,61902,60480,68942,78336,84907,52897
MIDSTATE MEDICAL CENTER,Full Time Equivalent Employees,866,866.4,909,950.5,985.8,1018.6,1054.6,1028.1
MIDSTATE MEDICAL CENTER,Hospital Total Margins,2.67%,5.44%,2.20%,3.01%,5.50%,3.83%,10.56%,8.90%
MIDSTATE MEDICAL CENTER,Medicaid,1343,1308,1516,1542,1741,2106,2151,2111
MIDSTATE MEDICAL CENTER,Medicaid Payment to Cost Ratio,0.7,0.59,0.72,0.75,0.68,0.62,0.65,0.69
MIDSTATE MEDICAL CENTER,Medicare,4627,4671,4630,4708,4619,4826,5054,4908
MIDSTATE MEDICAL CENTER,Medicare Payment to Cost Ratio,0.84,0.85,0.85,0.8,0.78,0.79,0.84,0.84
MIDSTATE MEDICAL CENTER,Occupancy of staffed beds,88%,89%,91%,84%,82%,85%,81%,83%
MIDSTATE MEDICAL CENTER,Private Payment to Cost Ratio,1.41,1.49,1.44,1.39,1.4,1.47,1.56,1.72
MIDSTATE MEDICAL CENTER,Staffed Beds,136,136,136,140,142,144,144,139
MIDSTATE MEDICAL CENTER,Total Case Mix Index,1.0856,1.1156,1.1661,1.1782,1.1806,1.1811,1.2013,1.2865
MIDSTATE MEDICAL CENTER,Total Emergency Room Visits,67256,69848,68000,66895,75322,84965,92139,59791
MIDSTATE MEDICAL CENTER,Uncompensated Care Cost,"$4,432,370","$4,575,133","$6,173,100","$6,403,138","$6,815,201","$5,068,840","$4,666,905","$3,847,332"
MILFORD HOSPITAL,ALOS,4.5,4.4,4.4,4.2,3.9,4,4.1,4.1
MILFORD HOSPITAL,Champus / TRICARE,8,11,8,3,12,8,3,10
MILFORD HOSPITAL,Discharges,4919,5026,4935,4800,4540,4374,3580,3348
MILFORD HOSPITAL,Emergency Room - Treated and Admitted,3233,3160,3138,3033,3143,3152,3025,3065
MILFORD HOSPITAL,Emergency Room - Treated and Discharged,27005,34373,35844,36913,35049,34292,33427,32175
MILFORD HOSPITAL,Full Time Equivalent Employees,542,561,560,547.9,524,505,507,498.6
MILFORD HOSPITAL,Hospital Total Margins,2.94%,0.29%,-6.29%,-4.27%,-4.65%,-6.74%,-2.01%,-12.84%
MILFORD HOSPITAL,Medicaid,344,446,414,417,406,517,349,258
MILFORD HOSPITAL,Medicaid Payment to Cost Ratio,0.65,0.51,0.52,0.53,0.54,0.56,0.56,0.65
MILFORD HOSPITAL,Medicare,2534,2498,2632,2423,2362,2050,1986,2011
MILFORD HOSPITAL,Medicare Payment to Cost Ratio,0.79,0.73,0.79,0.75,0.74,0.75,0.7,0.72
MILFORD HOSPITAL,Occupancy of staffed beds,95%,94%,97%,95%,95%,97%,86%,81%
MILFORD HOSPITAL,Private Payment to Cost Ratio,1.18,1.11,1.14,1.07,1.02,1.01,1.01,1.16
MILFORD HOSPITAL,Staffed Beds,64,65,61,59,51,49,47,46
MILFORD HOSPITAL,Total Case Mix Index,1.1302,1.179,1.2565,1.2994,1.308,1.2995,1.3825,1.4131
MILFORD HOSPITAL,Total Emergency Room Visits,30238,37533,38982,39946,38192,37444,36452,35240
MILFORD HOSPITAL,Uncompensated Care Cost,"$1,316,851","$1,928,821","$1,928,106","$2,865,432","$2,952,944","$3,612,969","$3,412,141","$2,750,166"
NEW MILFORD HOSPITAL,ALOS,3.9,4,3.9,3.6,3.7,3.7,3.7,3.8
NEW MILFORD HOSPITAL,Champus / TRICARE,5,6,1,6,5,7,9,2
NEW MILFORD HOSPITAL,Discharges,3161,2845,3032,2774,2512,2516,2288,1824
NEW MILFORD HOSPITAL,Emergency Room - Treated and Admitted,1635,1659,1794,1957,1901,2042,2050,2135
NEW MILFORD HOSPITAL,Emergency Room - Treated and Discharged,16483,17650,17759,17189,16972,16738,16366,15715
NEW MILFORD HOSPITAL,Full Time Equivalent Employees,496,470.3,488.1,488.8,475.5,461.6,420.3,362.2
NEW MILFORD HOSPITAL,Hospital Total Margins,-2.42%,1.04%,-1.21%,-5.52%,0.21%,-0.10%,-7.83%,-2.94%
NEW MILFORD HOSPITAL,Medicaid,193,159,196,208,252,236,265,188
NEW MILFORD HOSPITAL,Medicaid Payment to Cost Ratio,0.75,0.74,0.74,0.69,0.72,0.73,0.67,0.65
NEW MILFORD HOSPITAL,Medicare,1320,1220,1290,1248,1167,1199,1118,1083
NEW MILFORD HOSPITAL,Medicare Payment to Cost Ratio,0.7,0.64,0.7,0.61,0.64,0.65,0.62,0.68
NEW MILFORD HOSPITAL,Occupancy of staffed beds,47%,88%,87%,85%,86%,88%,87%,87%
NEW MILFORD HOSPITAL,Private Payment to Cost Ratio,1.23,1.28,1.21,1.19,1.3,1.29,1.22,1.38
NEW MILFORD HOSPITAL,Staffed Beds,72,35,37,32,30,29,27,22
NEW MILFORD HOSPITAL,Total Case Mix Index,1.2099,1.212,1.279,1.2982,1.3055,1.2218,1.153,1.2867
NEW MILFORD HOSPITAL,Total Emergency Room Visits,18118,19309,19553,19146,18873,18780,18416,17850
NEW MILFORD HOSPITAL,Uncompensated Care Cost,"$2,003,285","$2,302,322","$3,093,425","$2,402,227","$1,987,111","$1,663,212","$1,863,279","$1,255,840"
NORWALK HOSPITAL,ALOS,5.3,5.2,5.1,4.7,4.8,4.7,4.5,4.6
NORWALK HOSPITAL,Champus / TRICARE,2,8,8,11,9,19,15,16
NORWALK HOSPITAL,Discharges,15089,15146,15301,15332,14483,14878,15003,13045
NORWALK HOSPITAL,Emergency Room - Treated and Admitted,9070,8864,9181,9239,9008,9538,9699,8469
NORWALK HOSPITAL,Emergency Room - Treated and Discharged,37647,38859,39632,40491,39491,40107,39550,39838
NORWALK HOSPITAL,Full Time Equivalent Employees,1701,1730,1721.4,1695.3,1726.6,1698.4,1698.8,1685.4
NORWALK HOSPITAL,Hospital Total Margins,0.12%,1.85%,2.63%,4.46%,1.53%,6.57%,7.55%,6.05%
NORWALK HOSPITAL,Medicaid,1701,1867,1992,2254,2458,3038,3002,2782
NORWALK HOSPITAL,Medicaid Payment to Cost Ratio,0.58,0.68,0.65,0.6,0.58,0.65,0.69,0.63
NORWALK HOSPITAL,Medicare,6178,5907,5821,5539,5684,6008,6147,5319
NORWALK HOSPITAL,Medicare Payment to Cost Ratio,0.83,0.8,0.78,0.74,0.7,0.71,0.67,0.72
NORWALK HOSPITAL,Occupancy of staffed beds,98%,98%,98%,98%,98%,98%,96%,97%
NORWALK HOSPITAL,Private Payment to Cost Ratio,1.34,1.36,1.41,1.31,1.27,1.46,1.4,1.56
NORWALK HOSPITAL,Staffed Beds,224,221,217,200,194,196,193,168
NORWALK HOSPITAL,Total Case Mix Index,1.0918,1.0834,1.1192,1.1313,1.1723,1.1729,1.1303,1.1998
NORWALK HOSPITAL,Total Emergency Room Visits,46717,47723,48813,49730,48499,49645,49249,48307
NORWALK HOSPITAL,Uncompensated Care Cost,"$10,827,274","$14,365,864","$15,740,080","$18,357,526","$18,455,851","$14,840,041","$16,148,519","$13,157,867"
ROCKVILLE GENERAL HOSPITAL,ALOS,4,4.1,4.3,4.4,4.2,4.9,5.2,4.8
ROCKVILLE GENERAL HOSPITAL,Champus / TRICARE,16,5,11,8,17,3,4,7
ROCKVILLE GENERAL HOSPITAL,Discharges,3605,3589,3539,3510,3386,2515,2519,2567
ROCKVILLE GENERAL HOSPITAL,Emergency Room - Treated and Admitted,2129,2137,2245,2337,2136,2066,2144,2465
ROCKVILLE GENERAL HOSPITAL,Emergency Room - Treated and Discharged,12831,21510,22683,23608,23873,24397,24278,22671
ROCKVILLE GENERAL HOSPITAL,Full Time Equivalent Employees,442,444.2,443.2,444,422.7,405.1,376.6,378.3
ROCKVILLE GENERAL HOSPITAL,Hospital Total Margins,5.42%,1.27%,-1.46%,2.01%,4.48%,-1.03%,0.67%,3.58%
ROCKVILLE GENERAL HOSPITAL,Medicaid,509,574,486,458,548,268,266,292
ROCKVILLE GENERAL HOSPITAL,Medicaid Payment to Cost Ratio,0.75,0.71,0.72,0.74,0.7,0.56,0.52,0.65
ROCKVILLE GENERAL HOSPITAL,Medicare,1545,1607,1600,1766,1595,1581,1655,1707
ROCKVILLE GENERAL HOSPITAL,Medicare Payment to Cost Ratio,0.85,0.83,0.85,0.84,0.86,0.76,0.76,0.83
ROCKVILLE GENERAL HOSPITAL,Occupancy of staffed beds,59%,62%,63%,64%,59%,51%,76%,72%
ROCKVILLE GENERAL HOSPITAL,Private Payment to Cost Ratio,1.2,1.18,1.2,1.21,1.22,1.31,1.37,1.48
ROCKVILLE GENERAL HOSPITAL,Staffed Beds,66,66,66,66,66,66,47,47
ROCKVILLE GENERAL HOSPITAL,Total Case Mix Index,0.991,1.121,1.1773,1.2246,1.2028,1.397,1.4975,1.5738
ROCKVILLE GENERAL HOSPITAL,Total Emergency Room Visits,14960,23647,24928,25945,26009,26463,26422,25136
ROCKVILLE GENERAL HOSPITAL,Uncompensated Care Cost,"$1,356,123","$1,511,074","$1,632,207","$2,009,230","$1,890,942","$1,667,218","$2,089,937","$1,691,617"
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,ALOS,5.2,5.1,5,4.9,4.9,5,4.9,4.9
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Champus / TRICARE,73,70,69,90,90,95,89,79
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Discharges,31638,31626,32807,33057,31400,31842,32111,32366
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Emergency Room - Treated and Admitted,12551,13561,13560,15645,15060,15872,16654,17868
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Emergency Room - Treated and Discharged,50227,53025,51095,53595,54430,56997,62547,63204
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Full Time Equivalent Employees,3354,3416.7,3594.9,3610.8,3588.5,3554.4,3694.5,3816.6
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Hospital Total Margins,0.96%,2.27%,-5.55%,1.77%,-1.16%,-2.52%,-0.34%,4.13%
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Medicaid,4942,5091,4888,5525,6038,7447,7872,7857
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Medicaid Payment to Cost Ratio,0.72,0.76,0.72,0.71,0.62,0.62,0.67,0.65
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Medicare,12968,12903,14037,13748,13376,13685,13861,14271
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Medicare Payment to Cost Ratio,1.08,1.07,1,1.01,0.95,0.91,0.91,0.9
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Occupancy of staffed beds,78%,80%,79%,75%,71%,73%,73%,73%
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Private Payment to Cost Ratio,1.11,1.06,1.05,1.13,1.17,1.2,1.28,1.44
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Staffed Beds,574,553,572,593,593,595,595,595
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Total Case Mix Index,1.3959,1.4031,1.4442,1.4504,1.4866,1.4704,1.4675,1.4751
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Total Emergency Room Visits,62778,66586,64655,69240,69490,72869,79201,81072
SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,Uncompensated Care Cost,"$11,553,395","$12,487,008","$14,964,636","$11,664,077","$10,380,074","$8,328,115","$9,333,365","$8,834,587"
SAINT MARY‰ÛªS HOSPITAL,ALOS,4.6,4.7,4.4,4.3,4.3,4.5,4.3,4.4
SAINT MARY‰ÛªS HOSPITAL,Champus / TRICARE,31,34,41,30,48,26,22,25
SAINT MARY‰ÛªS HOSPITAL,Discharges,13000,13169,13153,12462,12208,12534,12078,11729
SAINT MARY‰ÛªS HOSPITAL,Emergency Room - Treated and Admitted,8059,8135,8246,7575,7441,8191,7851,7991
SAINT MARY‰ÛªS HOSPITAL,Emergency Room - Treated and Discharged,66038,60139,60106,61984,60527,61021,62968,62003
SAINT MARY‰ÛªS HOSPITAL,Full Time Equivalent Employees,1207,1206.7,1209.2,1205.4,1198.7,1237.9,1355.2,1355.2
SAINT MARY‰ÛªS HOSPITAL,Hospital Total Margins,0.44%,6.24%,5.10%,6.23%,6.47%,2.72%,6.44%,7.67%
SAINT MARY‰ÛªS HOSPITAL,Medicaid,2610,2855,2847,2603,2687,3197,3231,3345
SAINT MARY‰ÛªS HOSPITAL,Medicaid Payment to Cost Ratio,0.59,0.63,0.66,0.65,0.65,0.67,0.76,0.84
SAINT MARY‰ÛªS HOSPITAL,Medicare,5420,5363,5470,5300,5130,5576,5198,5053
SAINT MARY‰ÛªS HOSPITAL,Medicare Payment to Cost Ratio,1.09,1.04,1.07,1.13,1.13,1.08,1,0.98
SAINT MARY‰ÛªS HOSPITAL,Occupancy of staffed beds,92%,86%,81%,74%,80%,86%,78%,78%
SAINT MARY‰ÛªS HOSPITAL,Private Payment to Cost Ratio,1.04,1.01,1.01,1.02,1,1.05,1.13,1.1
SAINT MARY‰ÛªS HOSPITAL,Staffed Beds,178,196,196,196,181,179,182,182
SAINT MARY‰ÛªS HOSPITAL,Total Case Mix Index,1.1974,1.1953,1.2266,1.2607,1.2842,1.2993,1.2818,1.2826
SAINT MARY‰ÛªS HOSPITAL,Total Emergency Room Visits,74097,68274,68352,69559,67968,69212,70819,69994
SAINT MARY‰ÛªS HOSPITAL,Uncompensated Care Cost,"$4,083,006","$4,423,166","$4,906,173","$5,089,127","$5,210,770","$3,267,541","$4,126,132","$4,521,847"
SAINT VINCENT‰ÛªS MEDICAL CENTER,ALOS,5.1,5.2,5.2,5.8,5.6,5.5,5.6,5.9
SAINT VINCENT‰ÛªS MEDICAL CENTER,Champus / TRICARE,11,6,12,18,30,21,29,30
SAINT VINCENT‰ÛªS MEDICAL CENTER,Discharges,19674,19434,20159,21743,21873,22100,21912,20324
SAINT VINCENT‰ÛªS MEDICAL CENTER,Emergency Room - Treated and Admitted,11633,11570,12721,10882,14253,15163,15374,14293
SAINT VINCENT‰ÛªS MEDICAL CENTER,Emergency Room - Treated and Discharged,46909,48718,47919,50431,54760,60360,64398,64264
SAINT VINCENT‰ÛªS MEDICAL CENTER,Full Time Equivalent Employees,1720,1734.9,1829.4,2049.6,2020.1,2047.2,2078.2,2263.2
SAINT VINCENT‰ÛªS MEDICAL CENTER,Hospital Total Margins,9.10%,14.49%,-5.02%,2.01%,10.38%,5.41%,18.91%,12.02%
SAINT VINCENT‰ÛªS MEDICAL CENTER,Medicaid,2666,2756,2656,3120,3652,4488,4773,4685
SAINT VINCENT‰ÛªS MEDICAL CENTER,Medicaid Payment to Cost Ratio,0.67,0.67,0.65,0.74,0.67,0.64,0.7,0.72
SAINT VINCENT‰ÛªS MEDICAL CENTER,Medicare,9173,9179,9522,9746,9920,10164,10153,9550
SAINT VINCENT‰ÛªS MEDICAL CENTER,Medicare Payment to Cost Ratio,1.04,0.91,0.93,0.89,0.88,0.83,0.94,0.86
SAINT VINCENT‰ÛªS MEDICAL CENTER,Occupancy of staffed beds,82%,82%,84%,83%,80%,79%,74%,78%
SAINT VINCENT‰ÛªS MEDICAL CENTER,Private Payment to Cost Ratio,1.22,1.22,1.29,1.28,1.35,1.37,1.66,1.78
SAINT VINCENT‰ÛªS MEDICAL CENTER,Staffed Beds,336,336,340,415,423,423,456,424
SAINT VINCENT‰ÛªS MEDICAL CENTER,Total Case Mix Index,1.3454,1.3654,1.3622,1.3033,1.3089,1.3074,1.2991,1.3418
SAINT VINCENT‰ÛªS MEDICAL CENTER,Total Emergency Room Visits,58542,60288,60640,61313,69013,75523,79772,78557
SAINT VINCENT‰ÛªS MEDICAL CENTER,Uncompensated Care Cost,"$9,691,054","$12,688,863","$13,269,472","$15,619,940","$14,299,563","$15,805,393","$14,145,742","$13,319,286"
STAMFORD HOSPITAL,ALOS,4.5,4.4,4.9,5.1,5.1,5,5,4.8
STAMFORD HOSPITAL,Champus / TRICARE,7,8,7,11,13,16,14,18
STAMFORD HOSPITAL,Discharges,17083,16672,15856,14888,15089,14940,14294,14871
STAMFORD HOSPITAL,Emergency Room - Treated and Admitted,8550,8795,8327,7214,8068,8175,7642,8094
STAMFORD HOSPITAL,Emergency Room - Treated and Discharged,34605,35818,37113,39086,39642,40316,43189,42864
STAMFORD HOSPITAL,Full Time Equivalent Employees,1774,1774.5,1879.3,1898.4,2051.8,2089.4,2034.6,2084.4
STAMFORD HOSPITAL,Hospital Total Margins,6.06%,3.78%,2.94%,3.99%,5.55%,7.37%,7.13%,6.68%
STAMFORD HOSPITAL,Medicaid,2182,2218,2209,2285,2457,3039,3089,3552
STAMFORD HOSPITAL,Medicaid Payment to Cost Ratio,0.66,0.49,0.59,0.61,0.54,0.5,0.58,0.58
STAMFORD HOSPITAL,Medicare,5570,5792,5763,5093,5382,5251,5144,5118
STAMFORD HOSPITAL,Medicare Payment to Cost Ratio,0.83,0.69,0.64,0.63,0.65,0.61,0.64,0.7
STAMFORD HOSPITAL,Occupancy of staffed beds,66%,63%,66%,64%,78%,75%,73%,74%
STAMFORD HOSPITAL,Private Payment to Cost Ratio,1.38,1.25,1.28,1.32,1.37,1.43,1.49,1.64
STAMFORD HOSPITAL,Staffed Beds,319,319,319,321,269,271,267,267
STAMFORD HOSPITAL,Total Case Mix Index,1.0192,1.0498,1.2027,1.214,1.2122,1.2263,1.2846,1.2589
STAMFORD HOSPITAL,Total Emergency Room Visits,43155,44613,45440,46300,47710,48491,50831,50958
STAMFORD HOSPITAL,Uncompensated Care Cost,"$16,045,997","$19,424,296","$23,253,123","$21,570,630","$21,671,931","$23,111,558","$25,108,167","$20,268,313"
WATERBURY HOSPITAL,ALOS,4.7,4.9,4.8,4.9,4.5,4.6,4.7,4.7
WATERBURY HOSPITAL,Champus / TRICARE,7,11,12,15,10,8,13,25
WATERBURY HOSPITAL,Discharges,15000,14584,14736,13916,13046,12758,12364,11847
WATERBURY HOSPITAL,Emergency Room - Treated and Admitted,8828,9065,9294,8895,8340,8462,8267,7836
WATERBURY HOSPITAL,Emergency Room - Treated and Discharged,47503,44759,45166,49237,49393,48560,47677,46520
WATERBURY HOSPITAL,Full Time Equivalent Employees,1703,1647.9,1625,1589.2,1513.1,1512.7,1299.9,1209.1
WATERBURY HOSPITAL,Hospital Total Margins,-2.39%,-2.93%,-4.46%,-0.76%,0.14%,-0.59%,4.85%,2.62%
WATERBURY HOSPITAL,Medicaid,2394,2496,2730,2363,2411,3059,3210,3234
WATERBURY HOSPITAL,Medicaid Payment to Cost Ratio,0.74,0.73,0.66,0.68,0.62,0.65,0.57,0.85
WATERBURY HOSPITAL,Medicare,6658,6299,6566,6496,6077,5972,5734,5301
WATERBURY HOSPITAL,Medicare Payment to Cost Ratio,0.88,0.92,0.91,0.88,0.89,0.87,0.95,0.82
WATERBURY HOSPITAL,Occupancy of staffed beds,72%,83%,82%,87%,85%,85%,83%,86%
WATERBURY HOSPITAL,Private Payment to Cost Ratio,1.15,1.13,1.15,1.09,1.16,1.17,1.24,1.32
WATERBURY HOSPITAL,Staffed Beds,271,235,238,214,192,190,190,176
WATERBURY HOSPITAL,Total Case Mix Index,1.1638,1.225,1.3252,1.5294,1.4145,1.3373,1.3146,1.3169
WATERBURY HOSPITAL,Total Emergency Room Visits,56331,53824,54460,58132,57733,57022,55944,54356
WATERBURY HOSPITAL,Uncompensated Care Cost,"$5,894,939","$7,696,214","$6,390,261","$4,766,186","$4,856,677","$4,466,323","$3,064,711","$3,014,287"
WILLIAM W. BACKUS HOSPITAL,ALOS,4.3,4.2,4.2,4.2,4,4.1,4.1,4.3
WILLIAM W. BACKUS HOSPITAL,Champus / TRICARE,267,265,264,237,217,237,220,189
WILLIAM W. BACKUS HOSPITAL,Discharges,11615,12076,11940,11885,12175,11999,11911,11396
WILLIAM W. BACKUS HOSPITAL,Emergency Room - Treated and Admitted,6263,7031,6561,6343,6391,6846,7364,7289
WILLIAM W. BACKUS HOSPITAL,Emergency Room - Treated and Discharged,43603,47967,52432,57305,59170,56352,60738,71555
WILLIAM W. BACKUS HOSPITAL,Full Time Equivalent Employees,1367,1429.8,1503.2,1583.5,1542.1,1513.9,1542.8,1531.7
WILLIAM W. BACKUS HOSPITAL,Hospital Total Margins,4.52%,8.57%,1.25%,4.38%,6.68%,9.07%,12.98%,12.45%
WILLIAM W. BACKUS HOSPITAL,Medicaid,1406,1497,1459,1764,1891,2318,2286,2341
WILLIAM W. BACKUS HOSPITAL,Medicaid Payment to Cost Ratio,0.48,0.56,0.6,0.62,0.61,0.62,0.57,0.67
WILLIAM W. BACKUS HOSPITAL,Medicare,4698,5033,5048,5039,5229,5200,5508,5244
WILLIAM W. BACKUS HOSPITAL,Medicare Payment to Cost Ratio,0.82,0.84,0.81,0.73,0.77,0.82,0.88,0.86
WILLIAM W. BACKUS HOSPITAL,Occupancy of staffed beds,72%,69%,69%,68%,67%,67%,67%,66%
WILLIAM W. BACKUS HOSPITAL,Private Payment to Cost Ratio,1.38,1.4,1.42,1.41,1.42,1.53,1.53,1.68
WILLIAM W. BACKUS HOSPITAL,Staffed Beds,188,199,202,202,202,202,201,201
WILLIAM W. BACKUS HOSPITAL,Total Case Mix Index,1.1443,1.1681,1.325,1.3048,1.2417,1.282,1.2505,1.2816
WILLIAM W. BACKUS HOSPITAL,Total Emergency Room Visits,49866,54998,58993,63648,65561,63198,68102,78844
WILLIAM W. BACKUS HOSPITAL,Uncompensated Care Cost,"$6,518,570","$7,260,956","$9,061,214","$10,540,405","$9,257,065","$7,184,927","$5,694,063","$5,450,356"
WINDHAM COMMUNITY MEMORIAL HOSPITAL,ALOS,3.7,3.8,3.7,3.9,4.1,4.3,4.1,4.2
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Champus / TRICARE,15,18,12,13,14,18,17,18
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Discharges,5375,5713,5744,5343,5100,4701,4506,4137
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Emergency Room - Treated and Admitted,3545,3987,3890,3721,3665,3378,3244,3028
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Emergency Room - Treated and Discharged,19937,22515,24778,26293,28697,30744,33618,32054
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Full Time Equivalent Employees,555,584,594.8,608,603.4,607.5,601.6,577.1
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Hospital Total Margins,0.76%,2.84%,2.45%,-1.41%,-1.85%,-4.59%,-0.75%,-8.58%
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Medicaid,1052,1006,1144,961,1061,1035,970,965
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Medicaid Payment to Cost Ratio,0.88,0.89,0.85,0.82,0.74,0.61,0.64,0.57
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Medicare,2426,2656,2628,2534,2517,2372,2326,2210
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Medicare Payment to Cost Ratio,0.95,1.01,1.12,0.98,0.98,0.95,0.98,0.92
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Occupancy of staffed beds,63%,68%,66%,65%,66%,63%,59%,55%
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Private Payment to Cost Ratio,1.14,1.14,1.1,1.02,1.01,1.07,1.09,1.07
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Staffed Beds,87,87,87,87,87,87,87,87
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Total Case Mix Index,0.9773,1.0091,1.0125,1.0201,1.0367,1.1018,1.1658,1.2008
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Total Emergency Room Visits,23482,26502,28668,30014,32362,34122,36862,35082
WINDHAM COMMUNITY MEMORIAL HOSPITAL,Uncompensated Care Cost,"$2,598,523","$2,568,964","$2,644,909","$2,800,025","$2,938,954","$2,771,904","$3,050,367","$3,001,459"
