row,Hospital,year1,year2,year3,year4,
583,Total Discharges,"20,438","20,752","20,459","20,497",
584,CASE MIX INDEX,,,,,
585,Non-Government (Including Uninsured),1.0529,1.0461,1.1502,1.1226,
586,Medicare,1.4125,1.4443,1.397,1.3711,
587,Medical Assistance,0.7944,0.8217,0.8539,0.9274,
588,Medicaid,0.7801,0.7435,0.8419,0.9414,
589,Other Medical Assistance,0.8513,1.1794,0.9106,0.8679,
590,Champus / TRICARE,1.1502,0.9438,0.8912,0.8139,
591,Uninsured (Included in Non-Government),1.1045,1.1378,1.2087,1.0332,
592,Total Case Mix Index,1.1693,1.176,1.2113,1.1989,
593,UNCOMPENSATED CARE,,,,,
594,Charity Care,"$8,116,681","$9,945,753","$9,657,765","$12,266,705",
595,Bad Debts,"$11,968,179","$13,131,942","$15,597,793","$16,695,481",
596,Total Uncompensated Care Charges,"$20,084,860","$23,077,695","$25,255,558","$28,962,186",
597,Uncompensated Care Cost,"$8,926,518","$9,919,306","$10,675,330","$12,695,350",
598,Uncompensated care % of total expenses,2.7%,2.8%,2.8%,2.9%,
599,EMERGENCY DEPARTMENT VISITS,,,,,
600,Emergency Room - Treated and Admitted,"11,776","11,986","13,088","13,885",
601,Emergency Room - Treated and Discharged,"55,074","55,943","54,465","55,697",
602,Total Emergency Room Visits,"66,850","67,929","67,553","69,582",
604,33,,,,,
606,DAY KIMBALL HOSPITAL,,,,,
608,"Day Kimball Hospital, founded in 1894, is located in Putnam.   In FY 2009, the Hospital generated",,,,,
609,"$2.2 million in income from operations and experienced a $658,000 non-operating loss, resulting",,,,,
610,"in an excess of revenues over expenses of $1.5 million.  The Hospital reported 5,573 discharges",,,,,
611,"and 20,204 patient days while staffing 72 of its 122 available beds.  Reported below is a chart",,,,,
612,"indicating all of the affiliates of Day Kimball Healthcare Incorporated d/b/a Day Kimball Hospital,",,,,,
613,followed by various financial indicators and selected utilization measures.,,,,,
615,DAY KIMBALL,,,,,
616,HEALTHCARE INC. d/b/a,,,,,
617,Day Kimball Hospital,,,,,
625,Medicaid,,,,,
627,13%,Uninsured,,Uninsured,,
629,Medical,,,,,
630,Assistance,,Assistance,,,
631,3%,Non-,1%,,,
632,Government,Non-,,,,
633,42%,Government,,,,
634,Medicare,51%,,,,
635,Medicare,,,,,
636,40%,,,,,
637,37%,,,,,
639,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
640,Net Patient Revenue,"$87,811,235","$90,308,057","$88,983,220","$95,995,284",
641,Other Operating Revenue,"$4,568,458","$5,665,531","$2,929,366","$2,986,027",
642,Total Operating Revenue,"$92,379,693","$95,973,588","$91,912,586","$98,981,311",
643,Total Operating Expenses,"$91,077,194","$95,342,950","$95,714,493","$96,763,604",
644,Income/(Loss) from Operations,"$1,302,499","$630,638","-$3,801,907","$2,217,707",
645,Non Operating Revenue,"$109,519","$108,178","$990,034","-$657,705",
646,Excess/(Deficiency) of Revenue over Expenses,"$1,412,018","$738,816","-$2,811,873","$1,560,002",
647,*Source: Hospital Audited Financial Statements,,,,,34
649,KEY RESULTS - DAY KIMBALL HOSPITAL,,,,,
651,PROFITABILITY SUMMARY,2006,2007,2008,2009,
652,Hospital Operating Margins,1.41%,0.66%,-4.09%,2.26%,
653,Hospital Non Operating Margins,0.12%,0.11%,1.07%,-0.67%,
654,Hospital Total Margins,1.53%,0.77%,-3.03%,1.59%,
655,COST DATA SUMMARY,,,,,
656,Ratio of cost to charges,0.58,0.58,0.61,0.57,
657,Private Payment to Cost Ratio,1.21,1.22,1.11,1.18,
658,Medicare Payment to Cost Ratio,0.94,0.93,0.83,0.90,
659,Medicaid Payment to Cost Ratio,0.64,0.71,0.66,0.78,
660,LIQUIDITY MEASURES SUMMARY,,,,,
661,Current Ratio,2.39,2.50,2.66,2.27,
662,Days cash on hand,146,121,96,91,
663,Days in patients accounts receivable,43,32,33,29,
664,Average Payment Period,82,68,54,63,
665,SOLVENCY MEASURES SUMMARY,,,,,
666,Equity financing ratio,49.6,55.6,60.6,29.7,
667,Cash flow to total debt ratio,16.7,16.8,5.7,20.4,
668,Long-term debt to Capitalization Ratio,25.9,24.0,23.6,36.9,
669,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
670,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
671,NET ASSETS SUMMARY,,,,,
672,Hospital Unrestricted Net Assets,"$36,306,356","$38,661,562","$38,740,218","$15,965,857",
673,Hospital Total Net Assets,"$43,318,751","$46,398,805","$45,778,471","$23,306,105",
674,UTILIZATION MEASURES SUMMARY,,,,,
675,Patient Days,"19,961","20,370","20,465","20,204",
676,Discharges,"5,670","5,586","5,387","5,573",
677,ALOS,3.5,3.6,3.8,3.6,
678,Staffed Beds,72,72,72,72,
679,Available Beds,122,122,122,122,
680,Licensed Beds,122,122,143,122,
681,Occupancy of staffed beds,76%,78%,78%,77%,
682,Occupancy of available beds,45%,46%,46%,45%,
683,Full Time Equivalent Employees,730.0,705.3,714.4,737.9,
684,35,,,,,
685,KEY RESULTS - DAY KIMBALL HOSPITAL,,,,,
687,DISCHARGES,2006,2007,2008,2009,
688,Non-Government (Including Uninsured),"2,076","1,916","1,980","2,019",
689,Medicare,"2,491","2,508","2,333","2,571",
690,Medical Assistance,"1,066","1,107","1,038",970,
691,Medicaid,894,888,821,871,
692,Other Medical Assistance,172,219,217,99,
693,Champus / TRICARE,37,55,36,13,
694,Uninsured (Included in Non-Government),70,84,83,72,
695,Total Discharges,"5,670","5,586","5,387","5,573",
696,CASE MIX INDEX,,,,,
697,Non-Government (Including Uninsured),0.7655,0.7796,0.7828,0.8284,
698,Medicare,1.0949,1.0993,1.0833,1.1093,
699,Medical Assistance,0.6557,0.6876,0.6414,0.6216,
700,Medicaid,0.6263,0.6873,0.6289,0.6216,
701,Other Medical Assistance,0.8085,0.6889,0.6889,0.6216,
702,Champus / TRICARE,0.4882,0.8047,0.5423,0.9691,
703,Uninsured (Included in Non-Government),0.7358,0.8751,0.7784,0.9095,
704,Total Case Mix Index,0.8878,0.9052,0.8841,0.9223,
705,UNCOMPENSATED CARE,,,,,
706,Charity Care,"$632,146","$512,769","$720,702","$1,210,237",
707,Bad Debts,"$3,205,500","$3,691,706","$3,836,028","$3,445,323",
708,Total Uncompensated Care Charges,"$3,837,646","$4,204,475","$4,556,730","$4,655,560",
709,Uncompensated Care Cost,"$2,242,552","$2,442,527","$2,780,816","$2,675,910",
710,Uncompensated care % of total expenses,2.6%,2.7%,2.9%,2.8%,
711,EMERGENCY DEPARTMENT VISITS,,,,,
712,Emergency Room - Treated and Admitted,"3,528","3,553","3,505","3,673",
713,Emergency Room - Treated and Discharged,"24,968","25,170","24,650","30,101",
714,Total Emergency Room Visits,"28,496","28,723","28,155","33,774",
716,36,,,,,
718,JOHN DEMPSEY HOSPITAL,,,,,
720,"John Dempsey Hospital, located in Farmington, was founded in 1975 as the teaching hospital of",,,,,
721,the University of Connecticut Health Center and is also a statewide referral site for tertiary care.,,,,,
722,"In FY 2009, the Hospital experienced an $11.8 million loss from operations and realized a $15.2",,,,,
723,"million non-operating gain, resulting in an excess of revenues over expenses of $3.4 million.  The",,,,,
724,"Hospital reported 9,587 discharges and 56,119 patient days while staffing 224 of its 224 available",,,,,
725,beds.  Reported below is a chart indicating all of the affiliates of the University of Connecticut,,,,,
726,"Health Center, the parent corporation of the Hospital, followed by various financial indicators and",,,,,
727,selected utilization measures.,,,,,
729,Board of Trustees,,,,,
731,University of,,,,,
732,Connecticut,,,,,
734,UNIVERSITY OF,,,,,
735,University of CT,,,,,
736,UCHC FC Munson,CONNECTICUT,,,,
737,Health Center,,,,,
738,Road Corp.,HEALTH CENTER,,,,
739,Finance Corp.,,,,,
740,Central,School of,School of Dental,Correctional,,
741,Administration &,John Dempsey,Medicine,Medicine,Managed Health,
742,Hospital,(Other Health Care,(Other Health Care,,,
743,Finance,,,Care,,
749,Hospital Gross Revenue Payer Mix,,Hospital Net Revenue Payer Mix,,,
750,Medicaid,,Medicaid,,,
751,14%,,11%,Uninsured,,
752,Uninsured,Medical,0%,,,
753,1%,Assistance,,,,
754,Medical,,,,,
755,1%,,,,,
756,Assistance,,,,,
757,3%,,,,,
763,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
764,Net Patient Revenue,"$224,239,947","$227,337,829","$236,084,965","$251,133,088",
765,Other Operating Revenue,"$2,587,840","$1,590,150","$3,037,854","$3,928,058",
766,Total Operating Revenue,"$226,827,787","$228,927,979","$239,122,819","$255,061,146",
767,Total Operating Expenses,"$222,284,442","$233,836,419","$255,033,610","$266,850,045",
768,Income/(Loss) from Operations,"$4,543,345","-$4,908,440","-$15,910,791","-$11,788,899",
769,Non Operating Revenue,"$98,964","$951,575","$1,057,468","$15,159,902",
770,Excess/(Deficiency) of Revenue over Expenses,"$4,642,309","-$3,956,865","-$14,853,323","$3,371,003",
771,37,*Source: Hospital Audited Financial Statements,,,,
773,KEY RESULTS - JOHN DEMPSEY HOSPITAL,,,,,
775,PROFITABILITY SUMMARY,2006,2007,2008,2009,
776,Hospital Operating Margins,2.00%,-2.14%,-6.62%,-4.36%,
777,Hospital Non Operating Margins,0.04%,0.41%,0.44%,5.61%,
778,Hospital Total Margins,2.05%,-1.72%,-6.18%,1.25%,
779,COST DATA SUMMARY,,,,,
780,Ratio of cost to charges,0.58,0.59,0.61,0.53,
781,Private Payment to Cost Ratio,0.96,1.00,0.93,0.99,
782,Medicare Payment to Cost Ratio,1.19,1.02,1.06,1.05,
783,Medicaid Payment to Cost Ratio,1.03,0.98,0.79,0.74,
784,LIQUIDITY MEASURES SUMMARY,,,,,
785,Current Ratio,1.15,1.29,1.09,1.12,
786,Days cash on hand,11,0,0,0,
787,Days in patients accounts receivable,51,69,56,53,
788,Average Payment Period,65,74,76,68,
789,SOLVENCY MEASURES SUMMARY,,,,,
790,Equity financing ratio,50.5,47.2,39.5,42.2,
791,Cash flow to total debt ratio,31.5,13.3,-6.9,28.3,
792,Long-term debt to Capitalization Ratio,8.1,5.3,5.2,3.6,
793,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
794,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
795,NET ASSETS SUMMARY,,,,,
796,Hospital Unrestricted Net Assets,"$63,022,149","$67,414,232","$52,543,012","$55,916,180",
797,Hospital Total Net Assets,"$71,499,545","$67,542,680","$52,689,357","$56,060,360",
798,UTILIZATION MEASURES SUMMARY,,,,,
799,Patient Days,"59,690","60,392","60,012","56,119",
800,Discharges,"9,931","10,009","9,856","9,587",
801,ALOS,6.0,6.0,6.1,5.9,
802,Staffed Beds,224,224,224,224,
803,Available Beds,224,224,224,224,
804,Licensed Beds,224,224,224,224,
805,Occupancy of staffed beds,73%,74%,73%,69%,
806,Occupancy of available beds,74%,74%,73%,69%,
807,Full Time Equivalent Employees,"1,270.0","1,237.4","1,338.4","1,302.8",38
809,KEY RESULTS - JOHN DEMPSEY HOSPITAL,,,,,
811,DISCHARGES,2006,2007,2008,2009,
812,Non-Government (Including Uninsured),"3,857","4,010","4,100","3,760",
813,Medicare,"4,052","3,888","3,959","3,860",
814,Medical Assistance,"1,985","2,037","1,731","1,904",
815,Medicaid,"1,296","1,295","1,417","1,569",
816,Other Medical Assistance,689,742,314,335,
817,Champus / TRICARE,37,74,66,63,
818,Uninsured (Included in Non-Government),128,85,115,84,
819,Total Discharges,"9,931","10,009","9,856","9,587",
820,CASE MIX INDEX,,,,,
821,Non-Government (Including Uninsured),1.3668,1.3821,1.4332,1.4315,
822,Medicare,1.5054,1.5219,1.5577,1.6392,
823,Medical Assistance,1.3242,1.3112,1.3508,1.3937,
824,Medicaid,1.3493,1.2703,1.3746,1.4058,
825,Other Medical Assistance,1.277,1.3825,1.2435,1.3373,
826,Champus / TRICARE,1.3771,1.119,1.111,1.0871,
827,Uninsured (Included in Non-Government),1.0622,1.1704,0.9096,1.1699,
828,Total Case Mix Index,1.4149,1.42,1.4666,1.5054,
829,UNCOMPENSATED CARE,,,,,
830,Charity Care,"$371,382","$741,685","$996,974","$727,509",
831,Bad Debts,"$3,918,538","$4,843,833","$3,769,639","$5,537,519",
832,Total Uncompensated Care Charges,"$4,289,920","$5,585,518","$4,766,613","$6,265,028",
833,Uncompensated Care Cost,"$2,497,178","$3,309,932","$2,890,877","$3,317,622",
834,Uncompensated care % of total expenses,1.2%,1.5%,1.2%,1.3%,
835,EMERGENCY DEPARTMENT VISITS,,,,,
836,Emergency Room - Treated and Admitted,"3,998","4,706","4,730","4,436",
837,Emergency Room - Treated and Discharged,"23,923","25,548","25,355","24,156",
838,Total Emergency Room Visits,"27,921","30,254","30,085","28,592",
840,39,,,,,
842,ESSENT-SHARON HOSPITAL,,,,,
844,"Essent-Sharon Hospital, located in Sharon, became the state’s first for-profit hospital in April of",,,,,
845,"2002.  In FY 2009, the Hospital generated an excess of revenue over expenses of $2.7 million",,,,,
846,"which did not include any non-operating income. The Hospital reported 2,658 discharges and",,,,,
847,"11,466 patient days while staffing 47 of its 94 available beds.  Reported below is a chart indicating",,,,,
848,"all of the affiliates of Essent Healthcare of Connecticut, Incorporated, the Connecticut parent",,,,,
849,"corporation of the Hospital, followed by various financial indicators and selected utilization",,,,,
850,measures.,,,,,
852,Essent,,,,,
853,Healthcare Inc.,,,,,
855,Sharon Hospital,,,,,
856,Holding Company,,,,,
858,Essent Healthcare of,,,,,
859,"Connecticut, Inc.",,,,,
860,d/b/a Sharon Hospital,,,,,
862,Regional Healthcare,,,,,
863,"Associates, LLC",,,,,
865,For Profit Entity,,,,,
867,Hospital Gross Revenue Payer Mix,Hospital Net Revenue Payer Mix,,,,
868,Uninsured,Medicaid,Uninsured,,,
869,Medicaid,,,,,
870,2%,2%,1%,,,
871,3%,Medical,,,,
872,Medical,,,,,
873,Assistance,,,,,
874,Assistance,,,,,
875,4%,2%,,,,
877,Non-,,,,,
878,Non-,,,,,
879,Government,Government,,,,
880,Medicare,42%,Medicare,51%,,
881,49%,44%,,,,
882,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
883,Net Patient Revenue,"$48,828,136","$50,528,737","$54,645,472","$51,853,289",
884,Other Operating Revenue,"$584,133","$681,293","$671,644","$543,474",
885,Total Operating Revenue,"$49,412,269","$51,210,030","$55,317,116","$52,396,763",
886,Total Operating Expenses,"$47,944,711","$49,475,601","$53,643,999","$49,683,361",
887,Income/(Loss) from Operations,"$1,467,558","$1,734,429","$1,673,117","$2,713,402",
888,Non Operating Revenue,$0,$0,$0,$0,
889,Excess/(Deficiency) of Revenue over Expenses,"$1,467,558","$1,734,429","$1,673,117","$2,713,402",
891,*Source: Hospital Audited Financial Statements,40,,,,
895,PROFITABILITY SUMMARY,2006,2007,2008,2009,
896,Hospital Operating Margins,2.97%,3.39%,3.02%,5.18%,
897,Hospital Non Operating Margins,0.00%,0.00%,0.00%,0.00%,
898,Hospital Total Margins,2.97%,3.39%,3.02%,5.18%,
899,COST DATA SUMMARY,,,,,
900,Ratio of cost to charges,0.47,0.46,0.47,0.43,
901,Private Payment to Cost Ratio,1.24,1.16,1.13,1.18,
902,Medicare Payment to Cost Ratio,0.89,0.87,0.87,0.89,
903,Medicaid Payment to Cost Ratio,0.63,0.76,0.73,0.58,
904,LIQUIDITY MEASURES SUMMARY,,,,,
905,Current Ratio,1.03,1.85,1.61,1.52,
906,Days cash on hand,4,0,0,0,
907,Days in patients accounts receivable,45,43,43,41,
908,Average Payment Period,75,52,46,55,
909,SOLVENCY MEASURES SUMMARY,,,,,
910,Equity financing ratio,24.4,20.2,22.6,25.7,
911,Cash flow to total debt ratio,19.6,10.9,12.6,14.9,
912,Long-term debt to Capitalization Ratio,55.5,75.1,72.4,68.8,
913,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
914,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
915,NET ASSETS SUMMARY,,,,,
916,Hospital Unrestricted Net Assets,"$9,666,137","$11,400,566","$13,094,068","$15,453,591",
917,Hospital Total Net Assets,"$9,666,137","$11,400,566","$13,094,068","$15,453,591",
918,UTILIZATION MEASURES SUMMARY,,,,,
919,Patient Days,"11,742","11,470","11,806","11,466",
920,Discharges,"2,880","2,837","2,834","2,658",
921,ALOS,4.1,4.0,4.2,4.3,
922,Staffed Beds,47,47,47,47,
923,Available Beds,94,94,94,94,
924,Licensed Beds,94,94,94,94,
925,Occupancy of staffed beds,68%,67%,69%,67%,
926,Occupancy of available beds,35%,33%,34%,33%,
927,Full Time Equivalent Employees,288.0,290.1,283.0,255.3,
928,41,,,,,
929,KEY RESULTS - ESSENT SHARON HOSPITAL,,,,,
931,DISCHARGES,2006,2007,2008,2009,
932,Non-Government (Including Uninsured),"1,010",924,951,877,
933,Medicare,"1,577","1,581","1,574","1,484",
934,Medical Assistance,292,332,298,295,
935,Medicaid,100,123,118,142,
936,Other Medical Assistance,192,209,180,153,
937,Champus / TRICARE,1,0,11,2,
938,Uninsured (Included in Non-Government),91,78,79,72,
939,Total Discharges,"2,880","2,837","2,834","2,658",
940,CASE MIX INDEX,,,,,
941,Non-Government (Including Uninsured),0.939,1.1061,0.9749,1.0299,
942,Medicare,1.1221,1.1534,1.1591,1.1322,
943,Medical Assistance,0.8622,0.9591,0.857,0.9341,
944,Medicaid,0.8623,1.0489,0.934,0.7789,
945,Other Medical Assistance,0.8621,0.9062,0.8065,1.0781,
946,Champus / TRICARE,0.2567,,0.5292,2.0971,
947,Uninsured (Included in Non-Government),0.9038,1.0792,0.9467,0.8348,
948,Total Case Mix Index,1.0312,1.1153,1.0631,1.0772,
949,UNCOMPENSATED CARE,,,,,
950,Charity Care,"$253,399","$438,669","$767,308","$430,330",
951,Bad Debts,"$1,316,950","$2,496,357","$3,536,277","$2,953,540",
952,Total Uncompensated Care Charges,"$1,570,349","$2,935,026","$4,303,585","$3,383,870",
953,Uncompensated Care Cost,"$739,690","$1,357,809","$2,044,048","$1,461,984",
954,Uncompensated care % of total expenses,1.6%,2.7%,3.8%,2.9%,
955,EMERGENCY DEPARTMENT VISITS,,,,,
956,Emergency Room - Treated and Admitted,"1,729","1,618","1,607","1,524",
957,Emergency Room - Treated and Discharged,"14,181","14,386","14,756","14,489",
958,Total Emergency Room Visits,"15,910","16,004","16,363","16,013",
960,42,,,,,
962,GREENWICH HOSPITAL,,,,,
964,"Greenwich Hospital, founded in 1903, is located in Greenwich.  In FY 2009, the Hospital",,,,,
965,generated $10.6 million in income from operations and experienced a $1.1 million non-operating,,,,,
966,"loss, resulting in an excess of revenues over expenses of $9.5 million.  The Hospital reported",,,,,
967,"12,931 discharges and 50,149 patient days while staffing 206 of its 206 available beds. Reported",,,,,
968,"below is a chart indicating all of the affiliates of Greenwich Healthcare Services, Incorporated, the",,,,,
969,parent corporation of the Hospital and an affiliate of the larger Yale-New Haven Health Services,,,,,
970,"Corporation which includes Bridgeport Hospital and Yale New Haven Hospital, followed by",,,,,
971,various financial indicators and selected utilization measures.,,,,,
973,YALE-NEW HAVEN,The New Clinical,,,,
974,YNHH - Physicians Corp,HEALTH SERVICES,Program Development,,,
975,CORPORATION,Corporation,,,,
977,Bridgeport Hospital,,,,,
981,Greenwich Endoscopy,Greenwich Health,,The Greenwich,The Perryridge,
983,"Center, LLC","Services, Inc.",Hospital Association,"Hospital Foundation,",Corporation,
984,(Inactive),(Medical Practices),,Inc.,(Real Estate),
1010,Medicare,,,Medicare,,
1012,38%,,,28%,,
1013,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,,
1014,Net Patient Revenue,,"$225,549,000","$241,849,000",,"$263,093,000"
1015,Other Operating Revenue,"$13,477,000","$13,929,000","$21,552,000",,
1016,Total Operating Revenue,"$239,026,000","$255,778,000","$284,645,000",,
1017,Total Operating Expenses,"$233,033,000","$248,255,000","$278,268,000",,
1018,Income/(Loss) from Operations,"$5,993,000","$7,523,000","$6,377,000",,
1019,Non Operating Revenue,"-$840,000","$6,980,000","-$15,899,000",,
1020,Excess/(Deficiency) of Revenue over Expenses,"$5,153,000","$14,503,000","-$9,522,000",,
1021,43,*Source: Hospital Audited Financial Statements,,,,
1023,KEY RESULTS - GREENWICH HOSPITAL,,,,,
1025,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1026,Hospital Operating Margins,2.52%,2.86%,2.37%,3.61%,
1027,Hospital Non Operating Margins,-0.35%,2.66%,-5.92%,-0.37%,
1028,Hospital Total Margins,2.16%,5.52%,-3.54%,3.24%,
1029,COST DATA SUMMARY,,,,,
1030,Ratio of cost to charges,0.39,0.37,0.34,0.33,
1031,Private Payment to Cost Ratio,1.22,1.21,1.22,1.21,
1032,Medicare Payment to Cost Ratio,0.80,0.79,0.74,0.72,
1033,Medicaid Payment to Cost Ratio,0.73,0.88,0.79,0.80,
1034,LIQUIDITY MEASURES SUMMARY,,,,,
1035,Current Ratio,3.05,2.55,2.38,2.31,
1036,Days cash on hand,95,86,78,83,
1037,Days in patients accounts receivable,46,47,46,43,
1038,Average Payment Period,53,59,57,62,
1039,SOLVENCY MEASURES SUMMARY,,,,,
1040,Equity financing ratio,77.0,77.5,76.0,69.5,
1041,Cash flow to total debt ratio,22.7,33.2,8.1,31.0,
1042,Long-term debt to Capitalization Ratio,13.4,12.2,12.3,12.6,
1043,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1044,Financial Measures noted in red indicate an unfavorable variance from the statewide average.,,,,,
1045,NET ASSETS SUMMARY,,,,,
1046,Hospital Unrestricted Net Assets,"$303,518,000","$320,933,000","$304,976,000","$280,445,000",
1047,Hospital Total Net Assets,"$354,186,000","$376,486,000","$352,160,000","$328,100,000",
1048,UTILIZATION MEASURES SUMMARY,,,,,
1049,Patient Days,"48,083","48,835","51,700","50,149",
1050,Discharges,"12,346","12,779","12,731","12,931",
1051,ALOS,3.9,3.8,4.1,3.9,
1052,Staffed Beds,201,206,206,206,
1053,Available Beds,200,206,206,206,
1054,Licensed Beds,206,206,206,206,
1055,Occupancy of staffed beds,65%,65%,69%,67%,
1056,Occupancy of available beds,64%,58%,69%,67%,
1057,Full Time Equivalent Employees,"1,518.0","1,563.3","1,595.9","1,440.1",44
1059,KEY RESULTS - GREENWICH HOSPITAL,,,,,
1061,DISCHARGES,2006,2007,2008,2009,
1062,Non-Government (Including Uninsured),"7,658","7,655","7,567","7,298",
1063,Medicare,"4,323","4,677","4,740","5,054",
1064,Medical Assistance,360,443,422,573,
1065,Medicaid,171,242,161,327,
1066,Other Medical Assistance,189,201,261,246,
1067,Champus / TRICARE,5,4,2,6,
1068,Uninsured (Included in Non-Government),463,478,448,296,
1069,Total Discharges,"12,346","12,779","12,731","12,931",
1070,CASE MIX INDEX,,,,,
1071,Non-Government (Including Uninsured),0.7872,0.8102,0.8566,0.8455,
1072,Medicare,1.4133,1.3821,1.457,1.4065,
1073,Medical Assistance,0.8651,0.9723,1.1537,1.0577,
1074,Medicaid,0.8924,0.93,1.1619,1.1254,
1075,Other Medical Assistance,0.8404,1.0232,1.1486,0.9676,
1076,Champus / TRICARE,1.7985,0.667,0.6886,1.4673,
1077,Uninsured (Included in Non-Government),0.8813,0.9296,0.911,0.9178,
1078,Total Case Mix Index,1.0091,1.0251,1.09,1.0745,
1079,UNCOMPENSATED CARE,,,,,
1080,Charity Care,"$12,248,272","$14,259,114","$18,262,127","$21,129,180",
1081,Bad Debts,"$7,987,332","$8,706,380","$10,117,227","$7,851,327",
1082,Total Uncompensated Care Charges,"$20,235,604","$22,965,494","$28,379,354","$28,980,507",
1083,Uncompensated Care Cost,"$7,878,263","$8,412,549","$9,588,769","$9,612,333",
1084,Uncompensated care % of total expenses,3.6%,3.5%,3.6%,3.4%,
1085,EMERGENCY DEPARTMENT VISITS,,,,,
1086,Emergency Room - Treated and Admitted,"6,166","6,956","7,569","7,824",
1087,Emergency Room - Treated and Discharged,"32,163","32,906","33,101","35,461",
1088,Total Emergency Room Visits,"38,329","39,862","40,670","43,285",
1090,45,,,,,
1092,GRIFFIN HOSPITAL,,,,,
1094,"Griffin Hospital was founded in 1909 in Derby.   In FY 2009, the Hospital generated $2.8 million",,,,,
1095,"in income from operations and experienced a $1.6 million non-operating loss, resulting in an",,,,,
1096,"excess of revenues over expenses of $1.2 million.  The Hospital reported 7,533 discharges and",,,,,
1097,"33,581 patient days while staffing 95 of its 180 available beds. Reported below is a chart",,,,,
1098,"indicating all of the affiliates of Griffin Health Services Corporation, the parent corporation of the",,,,,
1099,"Hospital, followed by various financial indicators and selected utilization measures.",,,,,
1101,GRIFFIN,,,,,
1102,HEALTH SERVICES,,,,,
1103,CORPORATION,,,,,
1105,Griffin Hospital,,,,,
1106,Griffin,G. H. Ventures,Development Fund,Healthcare Alliance,"Planetree, Inc.",Griffin Pharmacy &
1108,Hospital,Services),(Fund Raising/,Insurance Co. LTD.,Services),Gift Shop
1109,Management),,,,,
1111,Griffin Faculty,"NuVal, LLC",,,,
1112,Practice Plan,-50%,,,,
1113,(Physician Services),,,,,
1114,For Profit Entity,,,,,
1116,Hospital Gross Revenue Payer Mix,,,Hospital Net Revenue Payer Mix,,
1117,Medicaid,,Medicaid,,,
1118,9%,Uninsured,8%,,,
1120,3%,,,,,
1122,Medical,Assistance,,,,
1123,Assistance,2%,,,,
1125,3%,,,,,
1126,Non-,,,,,
1127,Non-,,,,,
1128,Government,,Medicare,,Government,
1129,Medicare,39%,45%,,,
1131,46%,,,,,
1132,HOSPITAL STATEMENT OF OPERATIONS SUMMARY,2006,2007,2008,2009,
1133,Net Patient Revenue,"$103,699,744","$110,728,364","$115,006,758","$119,312,297",
1134,Other Operating Revenue,"$2,866,760","$3,137,450","$3,093,792","$3,255,934",
1135,Total Operating Revenue,"$106,566,504","$113,865,814","$118,100,550","$122,568,231",
1136,Total Operating Expenses,"$106,977,719","$113,390,230","$116,164,408","$119,759,030",
1137,Income/(Loss) from Operations,"-$411,215","$475,584","$1,936,142","$2,809,201",
1138,Non Operating Revenue,"$1,546,531","$229,504","-$3,725,404","-$1,578,517",
1139,Excess/(Deficiency) of Revenue over Expenses,"$1,135,316","$705,088","-$1,789,262","$1,230,684",
1140,*Source: Hospital Audited Financial Statements,,,,,
1142,KEY RESULTS - GRIFFIN HOSPITAL,,,,,
1144,PROFITABILITY SUMMARY,2006,2007,2008,2009,
1145,Hospital Operating Margins,-0.38%,0.42%,1.69%,2.32%,
1146,Hospital Non Operating Margins,1.43%,0.20%,-3.26%,-1.30%,
1147,Hospital Total Margins,1.05%,0.62%,-1.56%,1.02%,
1148,COST DATA SUMMARY,,,,,
1149,Ratio of cost to charges,0.35,0.37,0.36,0.34,
1150,Private Payment to Cost Ratio,1.09,0.95,0.99,1.06,
1151,Medicare Payment to Cost Ratio,0.96,0.95,0.94,0.94,
1152,Medicaid Payment to Cost Ratio,0.77,0.75,0.79,0.81,
1153,LIQUIDITY MEASURES SUMMARY,,,,,
1154,Current Ratio,1.88,1.58,1.13,1.05,
1155,Days cash on hand,57,59,47,40,
1156,Days in patients accounts receivable,46,49,46,53,
1157,Average Payment Period,59,73,94,101,
1158,SOLVENCY MEASURES SUMMARY,,,,,
1159,Equity financing ratio,21.6,17.6,12.3,-7.2,
1160,Cash flow to total debt ratio,12.1,6.2,2.9,7.5,
1161,Long-term debt to Capitalization Ratio,59.1,73.6,79.1,121.0,
1162,* Financial Measures noted in green indicate a favorable variance from the statewide average.,,,,,
1164,NET ASSETS SUMMARY,,,,,
1165,Hospital Unrestricted Net Assets,"$9,313,773","$11,510,321","$6,729,685","-$16,756,232",
1166,Hospital Total Net Assets,"$16,273,859","$20,226,342","$14,157,874","-$8,817,030",
1167,UTILIZATION MEASURES SUMMARY,,,,,
